gvkey,year,exec_fullname,gender,page,joined_co,salary,bonus,stock_awards,option_awards,total_curr,tdc1,tdc1_pct,tdc2,ceo_duality,sic,roa,roe,tobin_q,firm_size,leverage,rd_intensity,capex_ratio,cash_ratio,op_margin
177099,2018,"Scott E. Landers, CPA",MALE,53,NA,505,0,3400.02,0,505,4936.753,0.721,4936.753,0,7372,0.02417581984651023,0.03722407235537114,1.262588248735364,6.229804052844135,0.14773783822115763,0.13548028872848417,0.00710323526167325,0.13021810044597126,0.15797387501671822
177429,2007,Anthony Aquila,MALE,59,2005-04-01,475,0,1083.988,0,475,2001.672,NA,2001.672,0,7372,-0.0661022114411256,NA,1.0262610574098845,7.109841063642212,0.5010551875766471,NA,0.02224758630437607,0.07342438802797166,0.08752648529536401
177429,2008,Anthony Aquila,MALE,59,2005-04-01,634.615,0,716.336,2150.667,634.615,7614.131,280.389,2961.479,1,7372,4.490315410867614e-4,NA,1.3462015160446177,7.19425290024848,0.4737402900683684,NA,0.01413247932239788,0.11211596727626327,0.1715800412334469
177429,2009,Anthony Aquila,MALE,59,2005-04-01,696.538,461.658,768.234,2128.786,1158.196,5035.453,-33.867,2732.853,1,7372,0.04076176028771847,0.10345493873213356,1.244943039272978,7.257432093030958,0.4215960846152816,NA,0.01383185923675939,0.1659097045063157,0.22239017663903488
177429,2010,Anthony Aquila,MALE,59,2005-04-01,729.615,0,1151.547,2692.491,729.615,5887.247,16.916,4497.969,1,7372,0.06223551637743771,0.16464416992482667,1.8682857001753581,7.212775916007717,0.40058880200021674,NA,0.01661736641573048,0.17729072946435087,0.274064382876005
177429,2011,Anthony Aquila,MALE,59,2005-04-01,754.692,0,5518.346,3200.092,754.692,11536.595,95.959,16190.555,1,7372,0.0725528839837078,0.2004524212561568,1.9308305845417644,7.682083749553905,0.48149377516844266,NA,0.00897823325887969,0.1710824821876001,0.3071825931762517
177429,2012,Anthony Aquila,MALE,59,2005-04-01,776.308,0,1314.98,2986.828,776.308,6101.408,-47.113,3919.828,1,7372,0.04971986452373252,0.15564584997257708,1.3379964179093382,7.674067415767446,0.5325143971417631,NA,0.01379764812604795,0.236193986846459,0.2966070915595534
177429,2013,Anthony Aquila,MALE,59,2005-04-01,780,0,1367.316,26400.045,780,30261.766,395.98,5742.755,1,7372,0.04158684161217891,0.1254732779232304,1.6950817726012506,7.722031446809497,0.5082459189002547,NA,0.01469474972990523,0.20563923313020668,0.2858729774264023
177429,2014,Anthony Aquila,MALE,59,2005-04-01,796.154,0,0,0,796.154,2782.734,-90.804,4469.271,1,7372,-0.00256169990994345,-0.01248745519713261,1.3538677551097238,8.13155600440201,0.5493413990116721,NA,0.01010974428293872,0.24639112069518243,0.2579647286071841
177429,2015,Anthony Aquila,MALE,59,2005-04-01,890.769,12600,6756.867,0,13490.769,22452.322,706.844,22452.322,1,7372,-0.02686995520474973,-0.4224344875259222,0.795402584320863,8.230212206478495,0.6613569683128898,NA,0.0143395432003688,0.1278015684999587,0.2198876973754565
177871,2007,Krishan Aruna Canekeratne,MALE,58,NA,300,0,0,714.32,300,1217.196,NA,502.876,0,7370,0.09830724124578193,0.11403801481063185,1.2422310117829285,5.197225504986763,NA,NA,0.06929247109586767,0.45285722188416216,0.11730771558977712
177871,2008,Krishan Aruna Canekeratne,MALE,58,NA,301.154,0,0,0,301.154,557.154,-54.226,557.154,0,7370,0.06446800660881283,0.07901773426133459,0.7511354218465109,5.231231603943771,NA,NA,0.05449062414783209,0.4225736941445705,0.05769564362618681
177871,2009,Krishan Aruna Canekeratne,MALE,58,NA,301.154,0,79.998,200.018,301.154,806.166,44.694,606.148,1,7370,0.05618581295483919,0.0667183735436813,1.119388714660935,5.374690271803196,0.01415647162915232,NA,0.01869617784530719,0.346944731392995,0.08026648009004349
177871,2010,Krishan Aruna Canekeratne,MALE,58,NA,331.269,0,962,0,331.269,1490.769,84.921,1490.769,1,7370,0.06580631009395678,0.07813404329204768,1.851491406589568,5.506050789402682,0.00795362686197329,NA,0.03947566182056,0.3903451581585607,0.08313644892397891
177871,2011,Krishan Aruna Canekeratne,MALE,58,NA,393.193,0,1657.478,0,393.193,2226.671,49.364,2226.671,1,7370,0.0732827833924058,0.0918303739217322,1.5662156675554972,5.610910320450735,0.00371991967607071,NA,0.04958795579989247,0.30720610988576885,0.08761533781424266
177871,2012,Krishan Aruna Canekeratne,MALE,58,NA,421.475,0,1431,0,421.475,2176.475,-2.254,2176.475,1,7370,0.09343937035854948,0.11259798498852132,1.96830569987398,5.716761218534394,1.05291212461215e-4,NA,0.04141564035154103,0.2862637742293177,0.09862384632700533
177871,2013,Krishan Aruna Canekeratne,MALE,58,NA,425,0,2342.963,0,425,3078.214,41.431,3078.214,1,7370,0.07648662179451521,0.09189456518833372,2.118081103632419,6.1079689879324794,2.7145797407798853e-4,NA,0.0166479390332091,0.31442621126995607,0.1068492667528273
177871,2014,Krishan Aruna Canekeratne,MALE,58,NA,443.75,0,2990.124,0,443.75,3588.724,16.585,3588.724,1,7370,0.08667100913347367,0.10016164238098048,2.450166517947388,6.193868512317167,5.227295466750521e-4,NA,0.03007532614444079,0.43954408182350935,0.11024539339354386
177871,2015,Krishan Aruna Canekeratne,MALE,58,NA,462.5,0,3717.2,0,462.5,4417.2,23.086,4417.2,1,7370,0.04571576674571332,0.0713458766949861,1.1249329600045714,6.887564816487608,0.19875062754333625,NA,0.01376615796541267,0.3028779239437885,0.09641647037657712
177871,2016,Krishan Aruna Canekeratne,MALE,58,NA,475,0,4220.31,0,475,4695.31,6.296,4695.31,1,7370,0.01284139394858244,0.02026953108974797,0.9787088215546556,6.82808416892432,0.2012410387472656,NA,0.01661324207836087,0.23511511554872108,0.02802390969931212
